Date,Product,Category,Region,Quantity Sold,Sales,Revenue
2023-02-03,Laptop,Electronics,South,4,8982,9847.124583013254
2023-02-04,Tablet,Electronics,South,4,3100,3470.9483739141533
2023-02-05,Keyboard,Electronics,South,14,4748,5245.008532984093
2023-02-06,Tablet,Electronics,South,9,4173,4572.395513848143
2023-02-07,Keyboard,Accessories,East,9,2815,3536.844082160819
2023-02-08,Laptop,Electronics,East,18,4841,5428.827583761593
2023-02-09,Phone,Electronics,East,10,9016,11556.53700432247
2023-02-10,Monitor,Accessories,North,4,8011,10354.070348635081
2023-02-11,Laptop,Electronics,West,12,5493,6552.133440341118
2023-02-12,Monitor,Electronics,South,8,1674,1817.5459698356067
2023-02-13,Phone,Electronics,South,2,9088,10393.373608958409
2023-02-14,Phone,Electronics,East,13,9578,11967.069904587297
2023-02-15,Laptop,Electronics,South,16,3158,3605.954980306337
2023-02-16,Phone,Electronics,South,2,3661,3923.6925090516274
2023-02-17,Keyboard,Accessories,West,11,3064,3643.6972417709917
2023-02-18,Phone,Accessories,East,10,4253,5364.22474535316
2023-02-19,Monitor,Electronics,West,15,5979,7467.66096718275
2023-02-20,Monitor,Electronics,North,17,8703,9519.174172138615
2023-02-21,Monitor,Accessories,North,8,9931,12097.856346432553
2023-02-22,Monitor,Electronics,North,18,2401,2653.407684127247
2023-02-23,Keyboard,Electronics,East,9,4259,4704.286472414426
2023-02-24,Tablet,Electronics,South,8,4923,6244.913834995356
2023-02-25,Laptop,Accessories,East,14,5214,5800.143479896889
2023-02-26,Monitor,Electronics,East,18,4227,4716.536633432909
2023-02-27,Phone,Accessories,South,12,3745,3932.861737100267
2023-02-28,Monitor,Electronics,West,19,7091,8989.02853024601
2023-03-01,Phone,Accessories,North,14,4866,6073.491590268912
2023-03-02,Phone,Accessories,West,17,6818,8228.18216986206
2023-03-03,Monitor,Electronics,North,3,3222,3987.439072852738
2023-03-04,Keyboard,Accessories,East,7,3792,4125.742041918418
2023-03-05,Phone,Electronics,North,17,5063,5896.273089849223
2023-03-06,Phone,Accessories,East,12,2524,2871.8194334170807
2023-03-07,Monitor,Electronics,West,9,9224,9901.448669548681
2023-03-08,Phone,Electronics,East,15,7198,8432.691808144256
2023-03-09,Phone,Accessories,West,18,5025,6432.929185742935
2023-03-10,Monitor,Electronics,South,13,3566,3780.012704633694
2023-03-11,Monitor,Electronics,South,8,3803,4270.2564635042245
2023-03-12,Laptop,Accessories,South,14,4709,5188.777567148164
2023-03-13,Keyboard,Electronics,East,8,7155,7938.734826744514
2023-03-14,Keyboard,Electronics,South,14,1719,2195.3497486701613
2023-03-15,Phone,Accessories,North,7,7516,8771.30175290623
2023-03-16,Keyboard,Accessories,West,12,5579,6508.321106197812
2023-03-17,Phone,Electronics,West,11,1972,2445.5637917304543
2023-03-18,Laptop,Electronics,North,11,4718,5136.1235546238095
2023-03-19,Monitor,Accessories,East,13,8395,9837.398161917481
2023-03-20,Monitor,Accessories,East,18,5402,6252.795031670492
2023-03-21,Monitor,Electronics,West,2,5552,6658.112038478758
2023-03-22,Keyboard,Accessories,South,15,3207,4168.745388581039
2023-03-23,Laptop,Electronics,East,18,5426,6741.057424822297
2023-03-24,Keyboard,Electronics,East,15,7919,9102.624625548751
2023-03-25,Keyboard,Electronics,North,19,9835,12361.496067278815
2023-03-26,Laptop,Electronics,North,12,9386,10255.867174512734
2023-03-27,Laptop,Electronics,South,13,9680,10237.722120867684
2023-03-28,Laptop,Accessories,East,11,3204,3527.9631463438827
2023-03-29,Laptop,Accessories,East,5,6345,7202.227830886244
2023-03-30,Monitor,Accessories,North,1,4276,5035.61082972427
2023-03-31,Tablet,Accessories,East,3,2102,2530.3503633544005
2023-04-01,Tablet,Electronics,West,19,6243,7976.377873142409
2023-04-02,Laptop,Electronics,North,7,7614,8965.207107179298
2023-04-03,Tablet,Electronics,South,12,9707,11408.820670595489
2023-04-04,Tablet,Electronics,North,15,6223,6612.315562532104
2023-04-05,Laptop,Accessories,East,5,9584,10146.848080164313
2023-04-06,Tablet,Electronics,South,15,1630,1936.0976844809215
2023-04-07,Keyboard,Electronics,North,8,7683,8908.781571396757
2023-04-08,Phone,Accessories,West,10,1277,1608.7583410974605
2023-04-09,Phone,Accessories,West,16,1232,1343.0893120912483
2023-04-10,Laptop,Accessories,North,8,6690,7066.265104890765
2023-04-11,Monitor,Accessories,West,1,8659,10064.00667287674
2023-04-12,Laptop,Electronics,West,12,1025,1137.103880167766
2023-04-13,Monitor,Electronics,West,5,8468,8996.433628358318
2023-04-14,Phone,Accessories,South,3,7410,9122.818326385232
2023-04-15,Laptop,Electronics,West,1,9652,10403.87390889684
2023-04-16,Keyboard,Electronics,West,4,4764,5726.708524509256
2023-04-17,Tablet,Electronics,West,8,7599,8512.874262879548
2023-04-18,Monitor,Accessories,South,3,6102,6671.768224816586
2023-04-19,Tablet,Electronics,North,10,8006,9166.372673123014
2023-04-20,Tablet,Accessories,East,2,4483,5605.3703537018755
2023-04-21,Laptop,Electronics,West,11,2994,3437.1820423130725
2023-04-22,Tablet,Electronics,North,10,9682,11983.33793591536
2023-04-23,Keyboard,Electronics,West,14,2072,2240.60190174196
2023-04-24,Tablet,Accessories,South,7,7707,9581.28733283969
2023-04-25,Laptop,Electronics,North,2,1215,1347.7184974403947
2023-04-26,Keyboard,Accessories,South,9,8605,10492.491970673438
2023-04-27,Phone,Accessories,West,16,3606,4296.352071689159
2023-04-28,Tablet,Accessories,West,13,9350,11989.37577648232
2023-04-29,Laptop,Electronics,South,9,5781,6629.827869103823
2023-04-30,Phone,Electronics,East,4,4313,4599.992614860736
2023-05-01,Phone,Electronics,South,10,8763,9243.114879971408
2023-05-02,Monitor,Electronics,West,12,6939,8720.342888647485
2023-05-03,Keyboard,Accessories,South,17,3295,3892.0009815236044
2023-05-04,Tablet,Accessories,East,14,6685,8314.876621629159
2023-05-05,Laptop,Accessories,South,14,2696,2988.8028544077606
2023-05-06,Monitor,Electronics,East,2,2946,3347.4541785704964
2023-05-07,Keyboard,Accessories,East,11,3783,4000.620737143855
2023-05-08,Monitor,Electronics,South,16,4644,5992.492588830544
2023-05-09,Keyboard,Accessories,South,19,6241,7595.090901429944
2023-05-10,Keyboard,Electronics,North,6,7420,9522.095437793512
2023-05-11,Tablet,Electronics,West,19,8557,9552.813189592644
2023-05-12,Keyboard,Accessories,East,5,3645,4384.446215729384
2023-05-13,Monitor,Accessories,North,4,7589,9255.734064843207
2023-05-14,Keyboard,Accessories,South,15,7353,8304.385736498512
2023-05-15,Tablet,Accessories,West,4,2932,3700.2640692664568
2023-05-16,Tablet,Electronics,North,10,2757,3547.6810383039956
2023-05-17,Monitor,Accessories,East,3,6085,7735.335847795046
2023-05-18,Phone,Accessories,North,5,6637,8195.146879827404
2023-05-19,Phone,Accessories,East,6,2116,2368.578815574501
2023-05-20,Keyboard,Electronics,South,8,1492,1671.6427837054007
2023-05-21,Laptop,Electronics,West,7,9811,12664.432025974018
2023-05-22,Keyboard,Accessories,West,10,8888,9355.252149969108
2023-05-23,Monitor,Electronics,West,6,7474,9185.639375002947
2023-05-24,Monitor,Accessories,South,14,5958,7307.853659126063
2023-05-25,Monitor,Electronics,East,4,3743,4512.831737943773
2023-05-26,Monitor,Electronics,South,13,8866,11503.876257351538
2023-05-27,Monitor,Electronics,West,17,8160,9204.234048957998
2023-05-28,Tablet,Electronics,South,7,6451,7321.839623332561
2023-05-29,Phone,Accessories,South,4,6258,6694.400695909886
2023-05-30,Monitor,Accessories,South,14,9548,11082.3591519299
2023-05-31,Laptop,Accessories,East,3,8186,9129.535808939618
2023-06-01,Laptop,Electronics,North,5,7102,8066.783089716407
2023-06-02,Laptop,Accessories,North,16,1619,2037.7429321059653
2023-06-03,Laptop,Accessories,South,4,1882,2416.2454636146867
2023-06-04,Tablet,Accessories,North,2,9988,10951.17548079695
2023-06-05,Laptop,Electronics,North,18,4642,5306.396615067798
2023-06-06,Monitor,Electronics,South,19,2296,2943.833942654236
2023-06-07,Keyboard,Electronics,South,19,9436,10053.606158765877
2023-06-08,Laptop,Accessories,West,17,3895,4179.686064248454
2023-06-09,Tablet,Accessories,North,14,7593,8281.667995260725
2023-06-10,Tablet,Accessories,East,19,1929,2312.491389257685
2023-06-11,Laptop,Electronics,South,13,6366,6923.776619306044
2023-06-12,Keyboard,Electronics,West,12,9711,12546.797435067017
2023-06-13,Laptop,Accessories,East,6,4212,4892.9903972032225
2023-06-14,Tablet,Electronics,North,4,3409,4006.8686817084294
2023-06-15,Phone,Electronics,West,19,9199,10226.203151698484
2023-06-16,Monitor,Electronics,South,16,4423,5164.914299129707
2023-06-17,Tablet,Electronics,East,13,7976,9694.655783478202
2023-06-18,Laptop,Accessories,South,4,8594,10637.60407874576
2023-06-19,Monitor,Electronics,North,17,6158,7626.479913331912
2023-06-20,Laptop,Electronics,East,1,4667,5574.604455735827
2023-06-21,Laptop,Electronics,North,18,6973,8898.175177758041
2023-06-22,Phone,Electronics,North,17,7236,9076.490795776752
2023-06-23,Monitor,Accessories,West,15,9277,11496.633840014787
2023-06-24,Monitor,Accessories,South,11,3468,3689.6099872969594
2023-06-25,Phone,Electronics,East,13,7217,7590.259563334802
2023-06-26,Tablet,Electronics,North,1,4619,5095.273493341472
2023-06-27,Laptop,Electronics,North,17,2636,3205.062048388965
2023-06-28,Keyboard,Electronics,East,6,9155,10553.878252679926
2023-06-29,Laptop,Electronics,North,4,4583,5273.206971592187
2023-06-30,Laptop,Electronics,West,16,5009,6367.173930785534
2023-07-01,Tablet,Accessories,West,15,4326,5510.8512202545835
2023-07-02,Laptop,Electronics,West,15,9148,11684.683828890551
2023-07-03,Phone,Accessories,West,6,3217,3630.2864430372106
2023-07-04,Phone,Accessories,North,15,5967,7296.232508653795
2023-07-05,Monitor,Electronics,East,14,3369,3766.233046928338
2023-07-06,Keyboard,Accessories,East,11,4638,5090.912101449825
2023-07-07,Laptop,Accessories,East,7,6722,7368.374844572255
2023-07-08,Laptop,Accessories,East,9,5444,6181.808471995351
2023-07-09,Tablet,Accessories,South,16,8618,9975.243691815625
2023-07-10,Phone,Accessories,East,5,4947,6222.026387302356
2023-07-11,Keyboard,Accessories,South,10,2676,2890.0071415332445
2023-07-12,Monitor,Electronics,South,18,2196,2709.274290219797
2023-07-13,Phone,Accessories,West,3,3787,4479.504940008725
2023-07-14,Monitor,Accessories,South,13,8432,9460.588782360992
2023-07-15,Tablet,Accessories,North,11,8927,10473.200107781133
2023-07-16,Tablet,Electronics,South,17,4318,4857.687464324295
2023-07-17,Laptop,Accessories,West,13,9858,11819.943978684805
2023-07-18,Keyboard,Electronics,South,6,7689,8907.406480708494
2023-07-19,Monitor,Accessories,North,17,3176,3465.33799008863
2023-07-20,Phone,Electronics,North,13,4743,5118.388380654417
2023-07-21,Tablet,Electronics,North,19,9792,11619.911029712575
2023-07-22,Laptop,Accessories,West,19,5422,6916.320866619313
2023-07-23,Laptop,Accessories,West,10,4824,5480.012969988569
2023-07-24,Monitor,Electronics,East,3,3451,4255.9458425063185
2023-07-25,Tablet,Accessories,West,14,1628,1977.4751714604852
2023-07-26,Keyboard,Electronics,North,19,8778,11261.197259452156
2023-07-27,Tablet,Electronics,North,5,4696,5894.631714309191
2023-07-28,Monitor,Electronics,West,5,4674,5569.778245031033
2023-07-29,Monitor,Electronics,South,17,4929,5985.0758314489785
2023-07-30,Tablet,Electronics,West,10,3765,4798.856261672223
2023-07-31,Monitor,Accessories,West,5,5369,6173.704088611813
2023-08-01,Tablet,Electronics,North,4,9307,10532.719581854584
2023-08-02,Phone,Electronics,East,6,5956,6269.897703532807
2023-08-03,Tablet,Accessories,North,4,1692,2126.231104382989
2023-08-04,Tablet,Electronics,East,7,4162,5203.520418769701
2023-08-05,Monitor,Accessories,North,7,2105,2265.2191901502047
2023-08-06,Monitor,Accessories,West,18,4008,4786.411095894966
2023-08-07,Laptop,Accessories,North,3,3161,3685.711536976383
2023-08-08,Laptop,Electronics,North,1,9345,10089.584124383162
2023-08-09,Phone,Electronics,North,4,4699,6085.872524739584
2023-08-10,Laptop,Electronics,West,6,4786,5282.183629349905
2023-08-11,Tablet,Accessories,West,9,5200,5547.40443411773
2023-08-12,Monitor,Electronics,West,14,2913,3491.8476041222657
2023-08-13,Laptop,Accessories,West,12,6520,8050.352683726844
2023-08-14,Laptop,Electronics,East,4,2772,2933.0833081107003
2023-08-15,Phone,Accessories,East,12,3780,4591.488168597036
2023-08-16,Phone,Electronics,South,10,8423,9965.023617784775
2023-08-17,Tablet,Electronics,West,7,3871,4164.484712338828
2023-08-18,Monitor,Electronics,East,3,1660,1814.59740893274
2023-08-19,Phone,Accessories,North,14,7242,8632.417465290764
2023-08-20,Laptop,Accessories,West,10,2132,2396.558608002583
2023-08-21,Monitor,Electronics,South,16,1699,2182.4996057446465
2023-08-22,Monitor,Electronics,South,16,8470,10627.182435932476
2023-08-23,Laptop,Accessories,South,10,7297,9456.12247648255
2023-08-24,Phone,Accessories,North,13,8812,9824.654858207763
2023-08-25,Laptop,Accessories,East,6,5557,7182.03855686459
2023-08-26,Monitor,Electronics,North,12,3179,3680.6731180168404
2023-08-27,Keyboard,Accessories,West,9,9275,10544.559206633769
2023-08-28,Keyboard,Electronics,South,13,2422,2573.5866385799436
2023-08-29,Tablet,Accessories,North,4,4180,4444.139694463284
2023-08-30,Laptop,Electronics,North,11,5316,6501.482959153103
2023-08-31,Laptop,Accessories,East,18,7696,8961.85538529107
2023-09-01,Tablet,Accessories,East,11,1614,1786.1014761055687
2023-09-02,Tablet,Accessories,South,4,5570,6703.453651557887
2023-09-03,Tablet,Accessories,North,18,1270,1413.7824525444103
2023-09-04,Monitor,Accessories,North,1,3468,4142.206731016615
2023-09-05,Laptop,Electronics,East,7,4607,5251.068674337314
2023-09-06,Monitor,Accessories,North,6,4075,5117.743830860792
2023-09-07,Tablet,Accessories,North,15,1289,1617.9193378070947
2023-09-08,Laptop,Accessories,North,18,9120,10664.358907719075
2023-09-09,Monitor,Electronics,East,11,7614,8662.484174619201
2023-09-10,Monitor,Accessories,South,15,4252,4850.0010637423175
2023-09-11,Tablet,Electronics,West,16,8415,10530.771933374514
2023-09-12,Laptop,Accessories,South,7,7771,8797.120690205062
2023-09-13,Tablet,Accessories,West,10,1278,1408.6944698993373
2023-09-14,Laptop,Electronics,North,12,1580,1692.4518950407462
2023-09-15,Keyboard,Accessories,South,14,5958,6951.039403557326
2023-09-16,Phone,Electronics,West,5,9445,11055.684418574478
2023-09-17,Phone,Electronics,East,18,5276,6648.958589021435
2023-09-18,Phone,Accessories,East,5,8997,9944.47113798131
2023-09-19,Tablet,Electronics,South,3,5776,6614.951399177169
2023-09-20,Keyboard,Accessories,South,5,1824,2283.833016935523
2023-09-21,Laptop,Accessories,North,17,4832,6068.53732178476
2023-09-22,Monitor,Electronics,South,19,9891,11336.597038126498
2023-09-23,Laptop,Electronics,North,19,6445,7507.013582520665
2023-09-24,Monitor,Electronics,North,12,2380,2679.4551050553237
2023-09-25,Laptop,Electronics,East,9,7534,9667.167113502775
2023-09-26,Keyboard,Accessories,East,1,4156,4487.070872605502
2023-09-27,Monitor,Accessories,West,18,5307,6811.202046967201
2023-09-28,Tablet,Electronics,East,4,6634,8099.892510368917
2023-09-29,Laptop,Accessories,East,10,9575,11326.200840493862
2023-09-30,Laptop,Accessories,South,7,6810,7206.1020509856035
2023-10-01,Monitor,Accessories,East,1,9533,11143.114624159802
2023-10-02,Tablet,Accessories,West,17,6934,7987.531340022237
2023-10-03,Tablet,Electronics,South,2,4109,4480.062024601445
2023-10-04,Keyboard,Electronics,West,11,5082,6170.068401247584
2023-10-05,Tablet,Accessories,East,9,4240,5481.419961810383
2023-10-06,Tablet,Electronics,West,7,7028,8367.16574104037
2023-10-07,Tablet,Electronics,South,17,2849,3500.5330211472005
2023-10-08,Phone,Electronics,North,17,9497,10134.368487004866
2023-10-09,Keyboard,Accessories,West,2,3749,4327.908391829478
2023-10-10,Laptop,Accessories,West,6,7680,8287.408291515832
2023-10-11,Monitor,Accessories,South,14,1205,1449.8547454553739
2023-10-12,Laptop,Electronics,South,6,8352,10729.150746351155
2023-10-13,Keyboard,Accessories,West,2,5591,6795.549825562233
2023-10-14,Monitor,Accessories,East,1,4450,4757.943391249794
2023-10-15,Keyboard,Electronics,West,10,8214,9353.007051936867
2023-10-16,Tablet,Accessories,South,5,4811,5713.860379622484
2023-10-17,Monitor,Accessories,North,2,6141,7067.074707603576
2023-10-18,Tablet,Electronics,North,16,9501,11956.162935881153
2023-10-19,Laptop,Electronics,East,2,3708,4648.600021366159
2023-10-20,Laptop,Electronics,West,10,2991,3598.0466452821843
2023-10-21,Monitor,Accessories,North,2,9463,10819.658133697698
2023-10-22,Monitor,Accessories,West,16,4273,4759.413081272586
2023-10-23,Keyboard,Accessories,South,16,5538,5961.482993566077
2023-10-24,Keyboard,Electronics,North,19,9712,11059.291575505353
2023-10-25,Tablet,Electronics,East,7,4722,5445.850156563713
2023-10-26,Monitor,Accessories,South,12,4551,5547.46753303716
2023-10-27,Laptop,Accessories,East,15,3832,4654.117111677075
2023-10-28,Keyboard,Electronics,South,8,6679,7130.01306616599
2023-10-29,Keyboard,Electronics,North,6,7579,8706.867587913186
2023-10-30,Laptop,Electronics,East,10,1152,1261.9523137586002
2023-10-31,Keyboard,Electronics,East,3,6754,7356.478252927426
2023-11-01,Tablet,Accessories,South,19,3800,4775.9370422503835
2023-11-02,Monitor,Electronics,East,17,6310,6691.621254369897
2023-11-03,Laptop,Accessories,South,7,3610,4168.812545501664
2023-11-04,Monitor,Accessories,South,4,2104,2297.6751229331885
2023-11-05,Keyboard,Accessories,South,14,8361,10617.06998332193
2023-11-06,Keyboard,Electronics,South,15,5199,6182.963407129227
2023-11-07,Laptop,Electronics,North,8,4854,5377.480402243305
2023-11-08,Tablet,Electronics,South,15,8263,9714.039168463942
2023-11-09,Phone,Electronics,West,14,2914,3592.58781304372
2023-11-10,Laptop,Accessories,East,9,8365,10786.914286152767
2023-11-11,Phone,Electronics,West,8,4072,4500.014032321837
2023-11-12,Phone,Electronics,North,17,1406,1787.792892903465
2023-11-13,Tablet,Accessories,West,2,1166,1496.6496492798233
2023-11-14,Phone,Electronics,East,3,1508,1928.890545288589
2023-11-15,Phone,Accessories,West,8,2661,3216.7594009023856
2023-11-16,Tablet,Accessories,North,12,4664,5631.570883070869
2023-11-17,Phone,Accessories,South,1,4489,5165.953133090545
2023-11-18,Phone,Accessories,West,10,1680,2080.0071105675906
2023-11-19,Phone,Accessories,North,3,3524,4168.27003016717
2023-11-20,Laptop,Accessories,North,6,3120,3804.4016955580696
2023-11-21,Laptop,Accessories,East,7,6260,7243.5366195233655
2023-11-22,Laptop,Accessories,East,18,5357,6604.506639469774
2023-11-23,Tablet,Electronics,West,11,2363,2968.206549024888
2023-11-24,Keyboard,Electronics,South,19,3292,3577.1170391841174
2023-11-25,Phone,Electronics,North,5,2538,3193.393904531848
2023-11-26,Phone,Electronics,West,19,4408,5223.806778032918
2023-11-27,Tablet,Accessories,North,11,8742,11025.117344316686
2023-11-28,Phone,Electronics,North,12,9752,11291.113560059393
2023-11-29,Laptop,Accessories,South,10,2903,3323.2386322667376
2023-11-30,Keyboard,Electronics,South,8,1174,1501.270324993805
2023-12-01,Monitor,Electronics,West,9,3230,3594.319183545334
2023-12-02,Phone,Electronics,South,4,5287,6667.18764094696
2023-12-03,Laptop,Accessories,South,5,5160,6042.386538537131
2023-12-04,Monitor,Electronics,West,8,8106,9553.114414330128
2023-12-05,Keyboard,Accessories,South,9,4171,4701.205300523159
2023-12-06,Monitor,Accessories,East,15,2567,3063.0998322472533
2023-12-07,Laptop,Electronics,North,15,2151,2433.432320797533
2023-12-08,Monitor,Electronics,North,16,8619,9134.565770337202
2023-12-09,Tablet,Electronics,North,14,7033,7862.891547846714
2023-12-10,Monitor,Accessories,North,8,9560,10053.245913741752
2023-12-11,Phone,Electronics,West,18,5946,7697.624390960017
2023-12-12,Phone,Accessories,North,10,9234,11925.127433868885
2023-12-13,Tablet,Accessories,North,6,2907,3339.5291124379974
2023-12-14,Laptop,Electronics,North,12,4490,5532.096283996253
2023-12-15,Phone,Electronics,North,2,3535,4017.3561394702133
2023-12-16,Keyboard,Accessories,East,7,5173,6299.541225401439
2023-12-17,Phone,Accessories,North,16,2293,2869.3627721761072
2023-12-18,Phone,Accessories,East,3,5769,7422.909193907384
2023-12-19,Laptop,Electronics,West,13,5796,6665.707587706174
2023-12-20,Monitor,Accessories,South,3,7871,9805.884605961763
2023-12-21,Phone,Electronics,North,18,3972,4434.666951477694
2023-12-22,Tablet,Accessories,South,11,4922,6386.703899818084
2023-12-23,Monitor,Accessories,South,8,5997,6335.485070947454
2023-12-24,Keyboard,Electronics,West,6,8032,9645.485843454251
2023-12-25,Laptop,Accessories,South,1,1992,2420.033978862361
2023-12-26,Keyboard,Electronics,East,1,9112,11134.967779014865
2023-12-27,Monitor,Electronics,South,8,6287,6790.569176961751
2023-12-28,Monitor,Accessories,South,5,3240,4162.209124613235
2023-12-29,Monitor,Electronics,South,16,2476,2711.9524497320012
2023-12-30,Keyboard,Electronics,North,11,7426,8953.441693114764
2023-12-31,Monitor,Accessories,North,5,1389,1535.7742684754912
2024-01-01,Keyboard,Electronics,East,4,1999,2252.48140440638
2024-01-02,Monitor,Electronics,East,6,2855,3387.7847841584485
2024-01-03,Tablet,Electronics,North,14,9125,10532.97248610044
2024-01-04,Monitor,Accessories,East,19,9850,10737.055542404647
2024-01-05,Keyboard,Electronics,North,9,3763,4111.958420577413
2024-01-06,Phone,Accessories,West,12,4663,5383.602286800784
2024-01-07,Monitor,Accessories,South,11,5986,7418.573976989287
2024-01-08,Phone,Electronics,South,14,2481,3162.0125722073412
2024-01-09,Tablet,Electronics,East,16,8256,8842.439494903367
2024-01-10,Laptop,Electronics,North,1,4731,5432.493646665882
2024-01-11,Tablet,Accessories,North,13,8262,8882.157211869602
2024-01-12,Monitor,Electronics,East,13,1451,1529.5689223494749
2024-01-13,Phone,Electronics,North,2,4093,4974.753642015429
2024-01-14,Phone,Electronics,West,4,1882,2259.5524624452796
2024-01-15,Keyboard,Electronics,South,6,5408,5898.801841877726
2024-01-16,Phone,Electronics,East,5,5068,5617.640859528912
2024-01-17,Keyboard,Accessories,East,3,4277,4516.1995155844015
2024-01-18,Laptop,Accessories,North,1,9566,12041.076242418167
2024-01-19,Monitor,Electronics,East,4,8951,11579.663881307644
2024-01-20,Keyboard,Electronics,West,2,5690,6167.191191090447
2024-01-21,Laptop,Electronics,North,5,5595,6198.52595525421
2024-01-22,Phone,Electronics,North,3,5559,7043.822135905251
2024-01-23,Phone,Accessories,North,9,8291,10625.877837213682
2024-01-24,Laptop,Electronics,North,6,9160,10578.946706627596
2024-01-25,Phone,Accessories,West,18,1112,1181.6730472908027
2024-01-26,Laptop,Accessories,North,6,6131,6497.927833092668
2024-01-27,Keyboard,Electronics,East,19,4197,5009.0668969729095
2024-01-28,Keyboard,Accessories,West,12,1139,1307.8268822573327
2024-01-29,Laptop,Accessories,South,11,2424,2562.5633711120586
2024-01-30,Keyboard,Accessories,South,2,3949,4722.265924310572
2024-01-31,Keyboard,Accessories,East,15,4168,4388.177243125761
2024-02-01,Keyboard,Electronics,East,12,9708,12104.351742428285
2024-02-02,Tablet,Electronics,West,12,7043,7934.701592574961
2024-02-03,Monitor,Accessories,South,9,7989,8468.855296510188
2024-02-04,Phone,Electronics,South,2,8236,9859.217223004312
2024-02-05,Tablet,Electronics,South,3,7261,8345.946633299602
2024-02-06,Keyboard,Electronics,South,12,1887,2440.7403450012353
2024-02-07,Laptop,Electronics,South,16,4104,4867.547827728798
2024-02-08,Keyboard,Electronics,North,1,1049,1173.6314752269554
2024-02-09,Monitor,Accessories,East,3,4951,6076.657954700702
2024-02-10,Keyboard,Electronics,North,2,4560,5097.500882898691
2024-02-11,Laptop,Electronics,South,9,1018,1299.0299176632252
2024-02-12,Monitor,Electronics,West,19,5821,6657.364147580859
2024-02-13,Keyboard,Electronics,West,15,7340,8716.008812694337
2024-02-14,Monitor,Accessories,South,18,9058,9625.422793609965
2024-02-15,Phone,Accessories,South,11,3606,4170.448296013936
2024-02-16,Phone,Accessories,West,16,8846,11129.071967960292
2024-02-17,Keyboard,Accessories,North,17,9643,12067.367857529676
2024-02-18,Monitor,Electronics,North,5,7432,8220.383882349852
2024-02-19,Laptop,Accessories,South,12,4765,5272.566693341332
2024-02-20,Keyboard,Electronics,North,11,3438,4312.373915847277
2024-02-21,Phone,Electronics,West,15,7358,9437.367893901474
2024-02-22,Phone,Electronics,North,3,9319,10007.11710633578
2024-02-23,Keyboard,Electronics,South,1,6941,8069.014254064357
2024-02-24,Monitor,Electronics,West,16,8644,9805.438696841698
2024-02-25,Phone,Accessories,North,2,5855,7422.220226675827
2024-02-26,Monitor,Accessories,East,2,7547,8081.9406327725255
2024-02-27,Phone,Accessories,West,3,8196,9038.397056301417
2024-02-28,Phone,Accessories,West,8,6911,8556.627170265067
2024-02-29,Tablet,Electronics,East,15,7481,7950.9823210571185
2024-03-01,Phone,Accessories,East,7,3761,4412.156391716611
2024-03-02,Laptop,Electronics,West,6,5456,6331.833995303138
2024-03-03,Keyboard,Accessories,East,9,7361,8344.431769634044
2024-03-04,Keyboard,Electronics,South,1,6693,7687.86812660739
2024-03-05,Monitor,Electronics,South,8,6788,8026.709176020606
2024-03-06,Phone,Accessories,South,3,1201,1309.500549356112
2024-03-07,Laptop,Electronics,West,4,7160,8541.872622127632
2024-03-08,Monitor,Electronics,East,15,1517,1898.3102108870198
